step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest,side
5000,1,556,32.4,2.5,2.1,5.1,24.2,0.1,1.47,6.8,182,1033,54.01,21.04,252,136,168,0.1,1.55,1.34,1.50,4.86,6.39,5.44,31.6,0.973,0.481,7.51
5000,64,178,31.2,0.5,0.2,19.1,24.9,0.0,1.05,0.1,54,273,19.21,1.51,0,43,135,0.0,1.09,1.01,1.05,6.20,6.66,6.67,41.7,0.878,0.393,6.69
5000,30,177,12.8,1.4,0.1,1.8,12.9,0.0,1.22,6.8,82,560,29.85,10.60,70,63,44,0.0,1.11,1.38,1.21,3.67,4.50,5.15,29.4,0.782,0.441,6.45
5000,4,171,15.9,0.4,0.0,3.4,14.5,0.0,1.14,11.5,108,906,49.77,19.79,139,21,11,0.0,1.04,1.19,1.16,3.48,4.58,4.61,17.1,0.950,0.427,7.47
5000,3,82,13.1,0.1,0.0,1.2,14.0,0.0,1.07,9.4,34,1238,65.72,47.22,46,35,1,0.0,1.12,1.12,1.05,2.93,3.90,3.99,25.5,0.902,0.358,6.29
5000,10,75,32.6,1.5,1.1,0.9,22.8,0.0,1.39,0.2,21,861,89.84,47.09,54,21,0,0.7,1.06,1.74,1.39,4.13,5.17,5.17,23.4,1.201,0.367,5.23
5000,36,71,17.1,0.0,0.9,0.0,13.8,0.0,1.00,11.9,30,387,24.37,3.65,42,29,0,0.0,1.00,1.00,1.00,3.01,7.14,2.73,24.3,1.147,0.398,7.86
5000,26,65,17.7,0.0,3.4,0.2,15.2,0.0,1.00,12.6,30,1019,31.60,7.99,7,45,13,0.0,1.00,1.00,1.00,4.52,8.40,5.40,31.6,0.941,0.516,9.52
5000,25,53,16.5,0.4,3.2,0.0,10.4,0.1,1.10,15.5,22,1167,39.32,10.20,49,4,0,0.1,1.12,1.05,1.12,3.60,5.09,5.21,19.9,1.169,0.655,8.42
5000,21,51,24.4,0.1,0.0,6.4,17.6,0.0,1.00,2.1,16,1039,84.20,26.99,39,12,0,0.0,1.00,1.00,1.00,4.35,5.33,5.86,23.7,1.143,0.512,6.06
5000,31,50,14.9,2.7,0.0,0.0,8.9,0.0,1.68,14.3,22,497,26.36,9.23,49,1,0,0.0,1.81,1.28,1.98,3.34,2.36,7.50,14.8,1.037,0.375,8.14
5000,44,46,38.7,1.3,0.0,0.0,42.8,0.0,1.26,12.4,16,693,71.63,27.19,20,22,4,0.0,1.40,1.03,1.31,6.00,6.80,7.02,25.7,0.847,0.373,10.00
5000,42,46,29.3,0.0,0.0,5.2,21.2,0.0,1.00,8.6,16,588,73.27,28.56,22,23,1,0.0,1.00,1.00,1.00,3.67,5.04,4.67,25.9,1.241,0.460,7.00
5000,17,41,9.9,0.0,1.3,0.0,6.3,0.0,1.00,14.4,14,944,43.79,13.89,39,1,1,0.0,1.00,1.00,1.00,1.98,4.24,2.44,20.0,1.333,0.651,6.93
5000,90,41,19.6,0.9,2.2,9.0,14.5,0.0,1.16,8.2,19,1022,60.13,23.30,22,13,6,0.0,1.00,1.48,1.09,4.22,5.88,4.95,27.7,0.870,0.350,7.46
5000,8,36,46.5,0.0,0.0,0.2,45.9,0.0,1.00,10.1,11,888,155.97,59.88,11,25,0,0.0,1.00,1.00,1.00,5.69,6.08,6.44,26.2,1.013,0.669,8.78
5000,63,36,77.0,21.4,0.0,0.0,26.6,0.0,4.38,0.5,16,1115,138.62,35.99,17,16,3,0.0,5.12,3.95,4.19,6.06,6.89,7.03,28.3,1.112,0.341,7.08
5000,59,34,38.5,0.0,0.8,0.4,44.9,0.0,1.00,0.0,7,1138,177.51,91.37,32,2,0,0.0,1.00,1.00,1.00,6.15,6.74,6.74,19.3,0.838,0.560,6.74
5000,6,29,60.4,0.0,1.7,15.7,41.2,0.0,1.00,0.1,12,660,68.60,16.65,13,6,10,0.0,1.00,1.00,1.00,6.41,7.66,7.72,29.5,1.180,0.423,7.72
5000,93,26,46.2,0.9,18.8,0.0,25.6,0.1,1.07,1.4,18,1542,118.82,67.25,25,1,0,0.1,1.23,1.00,1.02,7.00,7.69,8.04,19.6,1.000,0.526,8.15
5000,46,22,19.3,0.0,1.9,8.9,11.2,0.0,1.00,3.8,13,1436,53.43,19.03,5,10,7,0.0,1.00,1.00,1.00,5.23,6.36,7.73,33.4,1.115,0.579,7.73
5000,51,22,47.8,0.0,0.0,7.0,43.8,0.0,1.00,0.5,9,1331,149.16,68.62,20,2,0,0.0,1.00,1.00,1.00,6.55,7.32,7.09,16.7,1.021,0.450,7.32
5000,75,18,19.8,0.0,7.7,2.0,13.9,0.0,1.00,14.2,7,1059,32.27,4.30,0,16,2,0.0,1.00,1.00,1.00,4.00,6.17,4.50,33.5,0.875,0.410,8.89
5000,99,17,7.4,0.4,0.0,0.9,5.4,0.0,1.11,13.4,9,376,18.23,5.81,17,0,0,0.0,1.00,1.13,1.21,2.47,2.29,4.06,13.7,1.141,0.476,6.53
5000,28,14,36.0,0.0,0.0,19.9,25.1,0.0,1.00,0.0,8,1218,115.01,45.54,1,12,1,0.0,1.00,1.00,1.00,6.21,7.00,7.00,30.8,1.022,0.465,7.00
5000,33,13,12.9,2.2,0.0,0.0,8.0,0.0,1.68,19.8,3,702,24.11,26.18,0,12,1,0.0,1.86,1.79,1.51,2.92,3.62,5.46,31.9,1.023,0.332,9.08
5000,39,10,40.2,0.4,10.7,0.0,26.6,0.0,1.00,3.6,8,1987,105.00,59.38,5,5,0,0.0,1.00,1.00,1.00,5.80,6.60,7.20,25.5,1.044,0.722,7.80
5000,12,10,55.8,15.8,1.6,0.3,21.9,0.0,4.17,4.2,7,1443,21.96,0.48,0,9,1,0.0,2.35,6.11,4.13,6.70,7.80,7.30,33.4,1.000,0.324,8.60
5000,115,7,44.3,0.0,0.0,23.0,26.0,0.0,1.00,0.0,1,1209,122.75,46.22,7,0,0,0.0,1.00,1.00,1.00,5.86,7.00,7.00,21.8,1.180,0.457,7.00
5000,24,7,79.1,0.0,0.0,0.0,71.6,0.0,1.00,0.0,3,1279,321.93,125.99,7,0,0,0.0,1.00,1.00,1.00,7.86,8.86,8.86,16.5,1.100,0.562,8.86
5000,121,7,52.9,17.1,0.0,0.0,31.9,0.0,5.90,0.0,2,1903,102.11,28.15,0,7,0,0.0,7.33,7.63,4.32,6.86,7.00,7.00,34.1,0.798,0.556,7.00
5000,111,6,41.6,0.3,0.0,0.0,40.0,0.0,1.05,0.0,2,1975,255.22,157.53,6,0,0,0.0,1.10,1.00,1.05,5.67,6.33,6.33,10.5,1.022,0.491,6.33
5000,41,6,41.3,0.0,25.3,0.0,10.5,0.0,1.00,0.0,5,1452,56.70,26.71,2,4,0,0.0,1.00,1.00,1.00,5.17,7.00,7.00,26.3,1.153,0.440,7.00
6000,1,513,37.1,2.3,2.4,6.8,28.3,0.1,1.42,3.7,181,1556,68.69,19.97,182,111,220,0.1,1.53,1.30,1.43,5.31,6.55,6.33,34.6,0.986,0.489,7.37
6000,64,206,31.2,1.0,0.1,18.7,23.8,0.0,1.20,0.2,67,774,32.60,2.86,0,73,133,0.0,1.26,1.12,1.21,5.92,6.56,6.62,40.6,0.884,0.424,6.64
6000,30,145,13.7,1.2,1.1,1.8,13.5,0.0,1.18,6.0,72,899,33.44,12.09,40,62,43,0.0,1.09,1.33,1.16,3.63,4.44,5.21,31.0,0.764,0.428,6.27
6000,4,139,19.7,1.1,0.1,6.2,15.5,0.0,1.28,9.6,82,1274,51.92,12.34,95,33,11,0.0,1.21,1.34,1.30,3.99,4.93,5.42,17.6,0.946,0.408,7.55
6000,26,84,16.5,0.0,2.7,0.7,14.3,0.0,1.00,13.5,37,1423,33.89,10.28,33,37,14,0.0,1.00,1.00,1.00,4.45,8.29,5.06,29.3,0.954,0.528,9.42
6000,36,81,12.8,0.0,0.2,0.0,11.1,0.0,1.00,13.4,34,787,48.83,14.86,69,12,0,0.0,1.00,1.00,1.00,2.67,6.30,2.17,19.4,1.117,0.418,7.59
6000,3,75,13.5,0.1,0.0,1.8,14.2,0.0,1.02,8.0,27,1628,80.51,52.70,27,47,1,0.0,1.01,1.00,1.03,2.93,4.11,4.15,27.3,0.892,0.365,6.13
6000,44,57,29.3,2.8,0.0,0.0,28.5,0.0,1.75,16.5,25,783,86.84,22.85,49,4,4,0.0,2.05,1.27,1.82,4.70,5.47,5.86,17.9,0.855,0.411,9.79
6000,10,57,31.4,2.1,1.9,0.6,20.1,0.0,1.66,0.4,22,1505,145.26,72.27,30,27,0,1.0,1.21,2.09,1.68,4.05,5.11,5.12,25.1,1.186,0.374,5.19
6000,31,52,15.3,3.4,0.0,0.1,8.3,0.0,1.85,13.9,25,1064,50.78,20.69,50,2,0,0.0,2.03,1.36,2.16,3.33,2.42,7.60,15.3,1.030,0.377,8.06
6000,90,48,21.7,1.3,1.7,9.7,16.2,0.0,1.31,6.4,20,1517,69.29,25.04,22,20,6,0.0,1.11,1.70,1.23,4.33,6.25,5.31,28.1,0.862,0.353,7.38
6000,25,46,20.8,0.4,4.9,0.0,12.5,0.1,1.12,12.0,21,1350,37.24,13.72,27,19,0,0.1,1.14,1.06,1.14,4.52,6.37,7.26,23.7,1.134,0.642,8.74
6000,63,45,67.2,17.7,0.0,2.0,23.7,0.0,4.05,1.6,26,1538,170.70,45.71,23,21,1,0.0,4.67,3.63,3.92,5.71,6.76,6.78,26.9,1.126,0.332,7.13
6000,17,40,23.7,0.0,0.3,0.0,22.2,0.0,1.00,8.4,25,822,52.27,16.70,34,5,1,0.0,1.00,1.00,1.00,3.53,5.35,4.55,22.0,1.133,0.652,7.03
6000,59,39,37.6,0.0,0.9,0.8,43.0,0.0,1.00,0.4,10,1396,233.52,110.90,37,2,0,0.0,1.00,1.00,1.00,6.05,6.59,6.77,18.8,0.846,0.568,6.77
6000,21,37,25.8,0.0,0.0,6.6,18.7,0.0,1.01,1.5,12,1837,132.93,37.38,27,10,0,0.0,1.00,1.02,1.02,4.49,5.49,5.84,23.7,1.162,0.507,6.03
6000,99,34,11.3,0.8,0.1,0.9,8.6,0.0,1.29,13.1,11,533,23.65,7.67,34,0,0,0.0,1.22,1.23,1.38,2.65,2.94,4.56,14.7,1.111,0.486,7.03
6000,46,29,16.9,0.0,1.4,7.7,9.8,0.0,1.00,6.9,16,1743,53.51,16.93,8,14,7,0.0,1.00,1.00,1.00,4.69,5.48,7.34,31.8,1.141,0.571,7.72
6000,123,29,33.4,1.7,0.7,6.6,27.1,0.1,1.39,4.3,16,1480,81.98,25.13,9,17,3,0.1,1.46,1.40,1.34,5.62,6.97,6.07,28.6,0.957,0.397,7.55
6000,8,29,40.7,0.0,0.0,0.2,40.4,0.0,1.00,10.9,10,1596,226.73,96.72,9,20,0,0.0,1.00,1.00,1.00,5.28,5.83,6.14,25.9,1.016,0.667,8.69
6000,93,24,46.5,1.0,19.3,0.0,24.8,0.1,1.10,1.5,18,2337,134.98,68.64,24,0,0,0.1,1.24,1.00,1.07,6.96,7.67,8.04,19.0,1.009,0.522,8.17
6000,121,21,60.1,23.3,0.0,0.0,27.1,0.0,7.50,0.0,6,1337,70.37,13.88,0,21,0,0.0,9.13,9.35,5.77,6.62,7.10,7.10,34.2,0.810,0.555,7.10
6000,51,20,48.0,0.0,0.0,5.3,43.6,0.0,1.00,0.5,7,1891,252.20,98.79,19,1,0,0.0,1.00,1.00,1.00,6.50,7.20,6.95,16.8,1.046,0.445,7.20
6000,6,19,60.9,0.0,3.4,15.3,39.5,0.0,1.00,0.2,12,1632,197.73,34.85,8,7,4,0.0,1.00,1.00,1.00,6.53,7.79,7.89,28.7,1.193,0.424,7.89
6000,42,18,52.1,0.0,0.0,14.3,35.7,0.0,1.00,0.8,6,1976,269.32,91.95,18,0,0,0.0,1.00,1.00,1.00,5.17,7.28,7.11,21.9,1.217,0.434,7.39
6000,41,17,43.9,0.0,27.3,0.0,10.7,0.0,1.00,0.2,10,1273,53.08,16.44,12,5,0,0.0,1.00,1.00,1.00,5.12,6.94,7.06,22.6,1.155,0.440,7.06
6000,124,11,11.0,0.0,0.0,0.0,11.9,0.0,1.00,12.2,7,1206,66.56,33.95,8,3,0,0.0,1.00,1.00,1.00,3.09,6.45,3.27,23.9,0.920,0.417,7.91
6000,39,10,44.1,0.2,15.2,0.0,25.6,0.0,1.00,2.6,5,1500,70.65,27.44,5,5,0,0.0,1.00,1.00,1.00,6.10,7.20,7.30,25.8,1.057,0.740,7.90
6000,12,10,55.8,15.8,1.6,0.3,21.9,0.0,4.17,4.2,7,2443,41.30,1.91,0,9,1,0.0,2.35,6.11,4.13,6.60,7.80,7.30,33.3,1.000,0.324,8.60
6000,28,9,43.9,0.0,3.6,13.7,30.8,0.0,1.00,0.0,6,1663,111.04,73.79,1,6,2,0.0,1.00,1.00,1.00,6.22,7.11,7.11,33.9,1.056,0.478,7.11
6000,115,7,44.3,0.0,0.0,23.0,26.0,0.0,1.00,0.0,1,2209,239.96,115.15,7,0,0,0.0,1.00,1.00,1.00,5.86,7.00,7.00,21.8,1.180,0.457,7.00
7000,64,306,30.6,1.0,0.1,17.7,23.8,0.0,1.19,0.3,127,941,37.67,6.51,7,93,206,0.0,1.25,1.10,1.21,6.22,6.53,6.51,42.3,0.879,0.400,6.58
7000,30,261,12.7,1.4,0.4,0.6,12.9,0.0,1.29,6.8,127,609,31.76,13.74,125,53,83,0.0,1.22,1.44,1.28,3.51,4.26,4.88,29.3,0.785,0.444,6.24
7000,1,221,39.1,4.4,3.9,8.7,26.8,0.0,1.95,0.4,102,908,44.71,13.66,24,86,111,0.2,2.53,1.64,1.82,5.89,6.66,6.76,39.9,0.901,0.437,6.82
7000,36,111,21.0,0.0,1.6,0.0,16.1,0.0,1.01,10.3,50,764,50.57,22.32,64,42,5,0.0,1.00,1.01,1.01,3.16,6.73,3.23,23.3,1.141,0.440,7.51
7000,8,96,19.6,0.0,0.3,0.0,18.4,0.0,1.00,15.6,28,546,43.98,24.08,15,80,1,0.0,1.00,1.00,1.00,3.48,4.03,4.67,29.8,1.066,0.578,8.26
7000,3,95,9.7,0.1,0.0,2.5,9.2,0.0,1.05,11.0,52,744,36.28,18.31,50,45,0,0.0,1.06,1.06,1.04,2.53,3.58,3.48,25.8,0.909,0.384,6.27
7000,10,81,28.5,3.0,1.9,0.9,15.9,0.1,1.88,1.3,36,1027,93.63,50.51,34,47,0,0.8,1.34,2.43,1.88,3.53,4.72,4.69,26.2,1.176,0.396,5.01
7000,4,77,27.9,1.9,0.4,13.2,18.5,0.0,1.40,6.7,45,1426,76.11,23.41,58,17,2,0.0,1.42,1.46,1.36,4.94,6.01,6.81,16.5,0.949,0.358,8.05
7000,119,65,13.2,0.2,0.0,2.6,13.7,0.0,1.03,8.2,31,771,60.54,35.79,41,24,0,0.0,1.00,1.09,1.03,3.28,5.48,3.65,25.0,0.852,0.363,6.60
7000,51,64,24.4,0.0,0.5,1.8,22.8,0.0,1.00,9.7,17,586,78.76,34.07,60,4,0,0.0,1.00,1.00,1.00,4.20,4.97,4.33,16.8,0.930,0.451,7.06
7000,21,59,18.2,0.1,0.0,6.2,12.6,0.0,1.01,3.7,21,783,33.63,13.15,41,18,0,0.0,1.01,1.00,1.01,3.80,4.95,5.42,24.6,1.133,0.505,6.12
7000,31,52,12.8,2.4,0.0,0.0,8.0,0.0,1.61,15.0,17,1333,53.94,21.33,47,4,1,0.0,1.77,1.16,1.88,3.21,2.19,7.88,16.8,1.046,0.392,8.10
7000,26,39,16.1,0.0,3.7,0.5,13.1,0.0,1.00,13.8,26,2148,49.33,19.45,16,22,1,0.0,1.00,1.00,1.00,4.21,9.00,4.79,27.0,0.944,0.522,9.64
7000,59,38,31.6,0.0,1.3,0.0,33.7,0.0,1.00,2.3,13,1036,180.28,94.64,38,0,0,0.0,1.00,1.00,1.00,4.74,6.05,5.84,17.5,0.923,0.567,6.50
7000,63,35,73.7,17.6,0.3,2.3,27.1,0.0,4.07,1.6,23,862,82.90,31.19,26,9,0,0.0,4.48,4.34,3.65,5.80,6.97,7.06,23.1,1.152,0.351,7.40
7000,6,34,61.1,1.9,2.5,17.4,38.1,0.0,1.13,0.0,16,902,100.84,24.16,20,13,1,0.1,1.09,1.05,1.20,6.82,7.82,7.82,22.4,1.154,0.424,7.82
7000,25,32,20.1,0.0,3.3,0.0,15.4,0.0,1.00,13.4,13,671,20.59,8.91,24,8,0,0.0,1.00,1.00,1.00,4.19,5.59,6.19,21.2,1.073,0.654,8.66
7000,90,29,18.9,1.4,2.0,4.8,14.2,0.0,1.25,7.2,14,1300,66.51,26.08,13,16,0,0.1,1.00,1.76,1.15,4.00,5.76,4.66,25.5,0.885,0.346,7.00
7000,46,25,12.0,0.0,0.6,2.2,8.4,0.0,1.00,13.0,10,898,43.61,13.18,5,18,2,0.0,1.00,1.00,1.00,3.56,3.52,7.60,30.5,1.188,0.571,7.88
7000,123,17,56.4,5.7,0.1,7.0,43.4,0.1,2.10,0.6,8,1090,117.70,47.25,7,10,0,0.1,2.40,1.92,2.04,7.71,7.76,7.59,26.1,0.969,0.418,7.82
7000,121,17,63.6,26.8,0.0,0.0,24.0,0.0,8.51,0.0,8,1156,46.59,2.85,0,17,0,0.0,10.08,10.39,6.77,6.59,7.12,7.12,34.2,0.816,0.557,7.12
7000,39,17,29.4,0.5,11.2,0.0,15.4,0.0,1.22,8.0,12,633,50.73,13.12,8,5,4,0.0,1.29,1.00,1.29,4.71,5.76,6.47,28.5,1.058,0.706,8.12
7000,93,16,48.5,0.0,21.9,0.0,21.8,0.0,1.00,0.0,10,1116,83.14,41.75,14,2,0,0.0,1.00,1.00,1.00,6.19,7.69,7.69,18.5,1.110,0.571,7.69
7000,41,12,41.4,0.0,24.4,0.0,11.2,0.0,1.00,0.3,11,1470,20.21,9.61,9,1,2,0.0,1.00,1.00,1.00,5.33,7.00,7.17,24.5,1.158,0.439,7.17
7000,115,11,46.7,0.0,0.0,23.1,28.6,0.0,1.00,0.0,3,1064,202.96,117.35,11,0,0,0.0,1.00,1.00,1.00,5.82,7.18,7.18,22.0,1.164,0.470,7.18
7000,44,9,46.7,6.7,0.0,0.0,40.3,0.0,2.54,10.0,7,1957,227.45,76.00,9,0,0,0.0,3.28,1.14,2.84,5.44,7.22,7.33,16.9,0.861,0.401,9.78
7000,99,9,15.6,0.0,0.0,3.3,13.7,0.0,1.00,8.7,4,1574,32.21,13.85,9,0,0,0.0,1.00,1.00,1.00,4.22,4.22,5.67,14.6,1.083,0.499,7.11
7000,17,9,23.5,0.0,0.4,0.0,23.1,0.0,1.00,5.8,8,979,86.10,25.02,6,3,0,0.0,1.00,1.00,1.00,4.11,5.56,5.78,22.9,1.026,0.672,7.00
7000,42,7,43.1,0.0,0.0,17.4,27.3,0.0,1.00,1.1,3,1623,144.75,66.62,7,0,0,0.0,1.00,1.00,1.00,5.29,6.86,6.86,21.6,1.202,0.429,7.14
7000,127,7,17.8,0.0,0.0,13.0,13.9,0.0,1.00,9.4,6,1007,37.97,10.37,7,0,0,0.0,1.00,1.00,1.00,3.43,6.71,5.14,21.4,0.877,0.547,8.29
7000,28,6,49.5,0.0,13.0,11.5,27.5,0.0,1.00,0.7,4,1244,34.86,14.76,0,3,3,0.0,1.00,1.00,1.00,6.33,7.17,7.50,39.5,1.061,0.450,7.50
8000,64,351,30.0,1.1,0.1,17.9,22.9,0.0,1.27,0.2,137,883,42.14,7.44,37,147,167,0.0,1.39,1.16,1.26,6.37,6.50,6.50,38.5,0.874,0.399,6.55
8000,30,297,15.6,1.1,0.5,0.6,15.7,0.0,1.14,5.9,135,586,37.58,16.03,145,102,50,0.0,1.04,1.28,1.12,3.72,4.81,5.07,28.3,0.823,0.425,6.40
8000,1,169,38.1,3.8,3.9,9.2,26.4,0.1,1.85,0.5,91,1514,48.07,13.36,18,62,89,0.2,2.33,1.69,1.70,5.76,6.70,6.72,40.4,0.901,0.434,6.84
8000,36,127,18.7,0.1,1.1,0.0,14.6,0.0,1.04,10.4,55,897,40.14,17.61,84,40,3,0.0,1.06,1.07,1.03,3.03,6.50,3.20,22.7,1.120,0.432,7.36
8000,4,109,22.4,2.3,0.2,8.8,14.9,0.0,1.65,10.0,56,1141,64.05,16.16,90,17,2,0.0,1.63,1.72,1.63,4.34,5.17,5.73,11.7,0.914,0.387,7.95
8000,3,105,8.6,0.0,0.0,2.0,8.7,0.0,1.00,11.4,42,879,45.74,27.76,70,28,7,0.0,1.00,1.00,1.00,2.62,3.29,3.53,25.3,0.885,0.395,6.27
8000,10,91,28.8,2.3,1.8,1.2,17.4,0.0,1.55,0.8,38,972,85.91,50.95,39,52,0,0.6,1.10,2.13,1.49,3.69,4.82,4.78,25.5,1.187,0.408,5.01
8000,133,65,19.3,0.3,2.0,0.3,16.0,0.0,1.07,4.4,27,797,68.70,39.93,44,21,0,0.0,1.04,1.09,1.07,3.66,4.89,5.37,24.1,1.027,0.490,6.22
8000,21,53,15.7,0.3,0.2,4.9,10.0,0.0,1.07,4.7,23,832,50.06,11.95,51,2,0,0.0,1.01,1.05,1.10,3.49,4.79,4.77,22.7,1.180,0.503,5.91
8000,90,52,14.2,1.4,2.1,2.9,9.7,0.0,1.30,10.7,27,978,52.79,13.94,17,35,0,0.2,1.08,1.80,1.17,3.48,4.65,4.10,26.4,0.892,0.358,7.02
8000,63,51,54.8,8.2,0.2,2.8,29.0,0.0,1.70,2.9,24,710,74.89,28.87,16,24,11,0.0,1.78,2.10,1.42,5.75,6.55,6.51,28.9,1.156,0.342,7.24
8000,119,50,11.9,0.5,0.0,2.7,11.4,0.0,1.09,8.8,19,1039,47.74,25.47,42,8,0,0.0,1.00,1.21,1.08,3.10,5.44,3.12,23.6,0.862,0.348,6.48
8000,6,45,55.6,2.1,6.4,20.0,27.6,0.1,1.35,0.1,33,1002,103.71,38.54,31,14,0,0.2,1.58,1.21,1.32,6.53,7.71,7.67,21.0,1.155,0.401,7.71
8000,59,35,32.0,0.0,2.2,0.1,31.3,0.0,1.00,0.4,18,1052,154.08,91.67,35,0,0,0.0,1.00,1.00,1.00,4.60,6.11,5.97,16.2,0.960,0.576,6.11
8000,139,32,31.1,0.0,14.8,2.1,18.0,0.0,1.00,0.9,23,2081,134.77,49.32,25,7,0,0.0,1.00,1.00,1.00,4.75,6.31,6.47,22.1,0.913,0.453,6.62
8000,8,30,26.7,0.0,0.0,0.0,24.8,0.0,1.00,13.3,17,643,43.21,29.36,9,20,1,0.0,1.00,1.00,1.00,3.67,4.87,5.30,28.7,1.083,0.638,8.40
8000,51,28,37.6,0.7,2.5,4.4,30.1,0.3,1.12,2.8,12,1179,109.37,54.80,26,2,0,0.4,1.23,1.00,1.12,5.54,6.68,6.00,16.5,1.028,0.422,7.04
8000,39,28,25.7,1.9,6.8,0.0,12.5,0.0,1.99,11.2,20,796,59.51,9.99,17,10,1,0.0,2.59,1.29,2.05,3.89,5.36,5.39,24.3,1.109,0.684,8.14
8000,26,25,12.9,0.0,1.5,1.7,11.1,0.0,1.00,15.7,14,947,55.67,29.44,16,9,0,0.0,1.00,1.00,1.00,4.44,8.24,4.04,23.9,0.975,0.538,9.20
8000,121,18,60.8,25.2,0.0,0.0,24.6,0.0,8.06,0.0,5,1711,77.74,10.14,0,18,0,0.0,9.88,10.21,6.08,6.56,7.06,7.06,34.2,0.810,0.553,7.06
8000,25,17,22.0,0.0,5.1,0.0,15.5,0.0,1.00,10.1,10,1389,23.78,2.45,14,3,0,0.0,1.00,1.00,1.00,4.88,6.12,7.47,19.8,1.084,0.632,8.59
8000,31,15,18.9,5.3,0.0,0.8,9.5,0.0,1.99,12.5,9,1290,52.63,9.22,12,2,1,0.0,2.59,1.00,2.28,3.93,3.40,8.13,20.0,0.999,0.399,8.13
8000,123,15,44.4,4.3,0.7,5.1,33.8,0.3,1.81,2.1,8,1259,101.70,36.93,5,9,1,0.3,2.11,1.76,1.68,5.93,7.13,6.87,28.7,0.955,0.405,7.40
8000,93,13,46.6,0.0,19.9,0.0,22.3,0.0,1.00,0.0,11,1638,142.82,57.94,10,3,0,0.0,1.00,1.00,1.00,6.23,7.69,7.69,20.4,1.103,0.571,7.69
8000,46,8,12.9,0.0,0.0,2.1,10.0,0.0,1.00,11.8,4,1767,43.31,20.24,2,5,1,0.0,1.00,1.00,1.00,3.62,3.62,7.88,31.1,1.178,0.574,7.88
8000,115,8,47.7,0.0,0.0,23.2,29.5,0.0,1.00,0.0,4,1676,297.38,138.30,8,0,0,0.0,1.00,1.00,1.00,5.38,7.25,7.25,22.1,1.164,0.473,7.25
